,population_size,relative_error_avg,satisfied_clauses
0,5,0.046366740389018855,1.0
1,6,0.04478921852720029,1.0
2,7,0.043321342268802486,1.0
3,8,0.013939460624233522,1.0
4,9,0.0093553638835167,1.0
5,10,0.01086484751685402,1.0
6,11,0.008992399648278169,1.0
7,12,0.01257400216760191,1.0
8,13,0.0040835687644436795,1.0
9,14,0.007190775638461861,1.0
10,15,0.0050079940533880405,1.0
11,16,0.0037707752877537805,1.0
12,17,0.007300487857376979,1.0
13,18,0.0034145632981795,1.0
14,19,0.00484518737477862,1.0
15,20,0.00257978676803428,1.0
16,21,0.0040835687644436795,1.0
17,22,0.00376472650127136,1.0
18,23,0.0,1.0
19,24,0.0,1.0
20,25,0.00465401425520789,1.0
21,26,0.0035577752478851603,1.0
22,27,0.00249940110197237,1.0
23,28,0.0023457862728062497,1.0
24,29,0.006456647931920819,1.0
25,30,0.0,1.0
26,31,0.00553541247106866,1.0
27,32,0.0023457862728062497,1.0
28,33,0.0023741535449131102,1.0
29,34,0.0031942810105071496,1.0
30,35,0.0023741535449131102,1.0
31,36,0.0008484947377009,1.0
32,37,0.00173778249163743,1.0
33,38,0.0,1.0
34,39,0.00181999275624773,1.0
35,40,0.0042371835936098005,1.0
36,41,0.00173778249163743,1.0
37,42,0.0,1.0
38,43,0.0,1.0
39,44,0.00057044549076421,1.0
40,45,0.0008484947377009,1.0
41,46,0.0,1.0
42,47,0.0,1.0
43,48,0.00249940110197237,1.0
44,49,0.0,1.0
45,50,0.0,1.0
46,51,0.0,1.0
47,52,0.0,1.0
48,53,0.0,1.0
49,54,0.0,1.0
50,55,0.0007825691751894299,1.0
51,56,0.00021212368442522002,1.0
52,57,0.0,1.0
53,58,0.0,1.0
54,59,0.0,1.0
55,60,0.00021212368442522002,1.0
56,61,0.0,1.0
57,62,0.00173778249163743,1.0
58,63,0.0,1.0
59,64,0.0,1.0
60,65,0.00021212368442522002,1.0
61,66,0.0,1.0
62,67,0.0,1.0
63,68,0.0,1.0
64,69,0.00173778249163743,1.0
65,70,0.0,1.0
66,71,0.0008484947377009,1.0
67,72,0.00173778249163743,1.0
68,73,0.0,1.0
69,74,0.0,1.0
70,75,0.0,1.0
71,76,0.0,1.0
72,77,0.0,1.0
73,78,0.0,1.0
74,79,0.00173778249163743,1.0
75,80,0.00021212368442522002,1.0
76,81,0.0,1.0
77,82,0.0,1.0
78,83,0.0,1.0
79,84,0.0,1.0
80,85,0.0,1.0
81,86,0.00057044549076421,1.0
82,87,0.0,1.0
83,88,0.0,1.0
84,89,0.0,1.0
85,90,0.0,1.0
86,91,0.0,1.0
87,92,0.0,1.0
88,93,0.0,1.0
89,94,0.0,1.0
90,95,0.0,1.0
91,96,0.0,1.0
92,97,0.0,1.0
93,98,0.0,1.0
94,99,0.0,1.0
95,100,0.0,1.0
96,101,0.0,1.0
97,102,0.0,1.0
98,103,0.0,1.0
99,104,0.00021212368442522002,1.0
100,105,0.0,1.0
101,106,0.0,1.0
102,107,0.0,1.0
103,108,0.0,1.0
104,109,0.0008484947377009,1.0
105,110,0.0,1.0
106,111,0.0,1.0
107,112,0.0,1.0
108,113,0.0,1.0
109,114,0.0,1.0
110,115,0.0,1.0
111,116,0.00249940110197237,1.0
112,117,0.0,1.0
113,118,0.0,1.0
114,119,0.0,1.0
115,120,0.0,1.0
116,121,0.0,1.0
117,122,0.0,1.0
118,123,0.00021212368442522002,1.0
119,124,0.0,1.0
120,125,0.0,1.0
121,126,0.0,1.0
122,127,0.00271152478639759,1.0
123,128,0.0008484947377009,1.0
124,129,0.0,1.0
125,130,0.0,1.0
126,131,0.0,1.0
127,132,0.0,1.0
128,133,0.0,1.0
129,134,0.0,1.0
130,135,0.0,1.0
131,136,0.0,1.0
132,137,0.0,1.0
133,138,0.0,1.0
134,139,0.0,1.0
135,140,0.0,1.0
136,141,0.0,1.0
137,142,0.0,1.0
138,143,0.0,1.0
139,144,0.0,1.0
140,145,0.0,1.0
141,146,0.00021212368442522002,1.0
142,147,0.0,1.0
143,148,0.0,1.0
144,149,0.0,1.0
145,150,0.0,1.0
146,151,0.0,1.0
147,152,0.0,1.0
148,153,0.0,1.0
149,154,0.0,1.0
150,155,0.0,1.0
151,156,0.0,1.0
152,157,0.0,1.0
153,158,0.0,1.0
154,159,0.0,1.0
155,160,0.0,1.0
156,161,0.0,1.0
157,162,0.0,1.0
158,163,0.0,1.0
159,164,0.0,1.0
160,165,0.0,1.0
161,166,0.0,1.0
162,167,0.0,1.0
163,168,0.00021212368442522002,1.0
164,169,0.00021212368442522002,1.0
165,170,0.0,1.0
166,171,0.0,1.0
167,172,0.0,1.0
168,173,0.0,1.0
169,174,0.0,1.0
170,175,0.0,1.0
171,176,0.00021212368442522002,1.0
172,177,0.0,1.0
173,178,0.0,1.0
174,179,0.0,1.0
175,180,0.00021212368442522002,1.0
176,181,0.0,1.0
177,182,0.0,1.0
178,183,0.0,1.0
179,184,0.0,1.0
180,185,0.0,1.0
181,186,0.0,1.0
182,187,0.0,1.0
183,188,0.0,1.0
184,189,0.0,1.0
185,190,0.0,1.0
186,191,0.0,1.0
187,192,0.0,1.0
188,193,0.0,1.0
189,194,0.00021212368442522002,1.0
190,195,0.0,1.0
191,196,0.0,1.0
192,197,0.0,1.0
193,198,0.0,1.0
194,199,0.0,1.0
